As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number,Main Loan or Credit
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P037834,NORTHERN EDUCATION,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Public Admin,1116881,TEACHER TRAINING AND CURRICULUM DEVELOPMENT,1999-09-13T00:00:00.000,KZR INTERNATIONAL LTD,Pakistan,PK,320663.38,TEACHERS TRAINING,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P037834,NORTHERN EDUCATION,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Public Admin,1116881,TEACHER TRAINING AND CURRICULUM DEVELOPMENT,1999-09-13T00:00:00.000,MONASH INTERNATIONAL PVT LTD.,Pakistan,PK,320663.39,TEACHERS TRAINING,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P037834,NORTHERN EDUCATION,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1116881,TEACHER TRAINING AND CURRICULUM DEVELOPMENT,1999-09-13T00:00:00.000,G&G CONSULTING LTD,Turkey,TR,320663.38,TEACHERS TRAINING,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P037834,NORTHERN EDUCATION,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1116881,TEACHER TRAINING AND CURRICULUM DEVELOPMENT,1999-09-13T00:00:00.000,HAWTHORNE INST. OF EDUCATION,Austria,AT,320663.38,TEACHERS TRAINING,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P037834,NORTHERN EDUCATION,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1116881,TEACHER TRAINING AND CURRICULUM DEVELOPMENT,1999-09-13T00:00:00.000,SMEC INTERNATIONAL PTY LTD,Australia,AU,320663.38,TEACHERS TRAINING,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P037834,NORTHERN EDUCATION,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1116881,TEACHER TRAINING AND CURRICULUM DEVELOPMENT,1999-09-13T00:00:00.000,KZR INTERNATIONAL LTD,Pakistan,PK,320663.38,TEACHERS TRAINING,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P037834,NORTHERN EDUCATION,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1116881,TEACHER TRAINING AND CURRICULUM DEVELOPMENT,1999-09-13T00:00:00.000,MONASH INTERNATIONAL PVT LTD.,Pakistan,PK,320663.39,TEACHERS TRAINING,
2019-08-07T00:00:00.000,2000,SAR,Sri Lanka,LK,P042266,TEACHER EDUCATION & TEACHER DEPLOYMENT,"Works, Building",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Education,1117182,REFURBISHMENT OF PASDUNRATA NATIONAL COLLEGE OF EDUCATION,1999-08-24T00:00:00.000,SAMUEL SONS & CO. LTD.,Sri Lanka,LK,0,TETD/ICB/CNCOE/6-98,
2019-08-07T00:00:00.000,2000,SAR,Sri Lanka,LK,P042266,TEACHER EDUCATION & TEACHER DEPLOYMENT,"Works, Building",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Public Admin,1117182,REFURBISHMENT OF PASDUNRATA NATIONAL COLLEGE OF EDUCATION,1999-08-24T00:00:00.000,SAMUEL SONS & CO. LTD.,Sri Lanka,LK,1112543.89,TETD/ICB/CNCOE/6-98,
2019-08-07T00:00:00.000,2000,AFR,Cote d'Ivoire,CI,P001194,CI-IVC PNGTER Rural Land Management,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Agriculture,1115776,"APPUI TECHNIQUE AU COORDONNATEUR, PNGTER POUR LA MISE EN OEU",1999-07-09T00:00:00.000,GERARD PAILLAT,Cote d'Ivoire,CI,109960.56,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Cote d'Ivoire,CI,P001194,CI-IVC PNGTER Rural Land Management,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Public Admin,1115776,"APPUI TECHNIQUE AU COORDONNATEUR, PNGTER POUR LA MISE EN OEU",1999-07-09T00:00:00.000,GERARD PAILLAT,Cote d'Ivoire,CI,-219921.12,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Cote d'Ivoire,CI,P001194,CI-IVC PNGTER Rural Land Management,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Social Protection,1115776,"APPUI TECHNIQUE AU COORDONNATEUR, PNGTER POUR LA MISE EN OEU",1999-07-09T00:00:00.000,GERARD PAILLAT,Cote d'Ivoire,CI,109960.56,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Cote d'Ivoire,CI,P001194,CI-IVC PNGTER Rural Land Management,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Transportation,1115776,"APPUI TECHNIQUE AU COORDONNATEUR, PNGTER POUR LA MISE EN OEU",1999-07-09T00:00:00.000,GERARD PAILLAT,Cote d'Ivoire,CI,109960.56,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Madagascar,MG,P001522,IRRIGATION II,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Agriculture,1115437,TESTING SAP PROCUREMENT FUNCTIONS,,PAILLAT,Cote d'Ivoire,CI,0,TESTING SAP PROCUREMENT FUNCTION,
2019-08-07T00:00:00.000,2000,AFR,Madagascar,MG,P001522,IRRIGATION II,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Public Admin,1115437,TESTING SAP PROCUREMENT FUNCTIONS,,PAILLAT,Cote d'Ivoire,CI,56042.28,TESTING SAP PROCUREMENT FUNCTION,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Health,1118066,PROCUREMENT OF VEHICLES AND MOTOS,1999-10-06T00:00:00.000,SUMITOMO CORPORATION,Japan,JP,0,78/99/CCM,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1118066,PROCUREMENT OF VEHICLES AND MOTOS,1999-10-06T00:00:00.000,SUMITOMO CORPORATION,Japan,JP,374176.06,78/99/CCM,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Health,1123425,PROCUREMENT OF VEHICLES AND MOTOCYCLES,1999-10-03T00:00:00.000,MAISON VIEILLE VILLE,France,FR,0,79/99/CGM,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1123425,PROCUREMENT OF VEHICLES AND MOTOCYCLES,1999-10-03T00:00:00.000,MAISON VIEILLE VILLE,France,FR,210158.97,79/99/CGM,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Health,1123437,PROCUREMENT OF VEHICLES AND MOTOCYCLES,,COMAEX,France,FR,0,AOI 01/98/EV,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1123437,PROCUREMENT OF VEHICLES AND MOTOCYCLES,,COMAEX,France,FR,145461.14,AOI 01/98/EV,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Health,1117107,HEALTH AND DEMOGRAPHIC SURVEY,1999-07-29T00:00:00.000,OFFICE NATIONAL DE LA STATISTIQUE (ONS),Mauritania,MR,0,CONTRACT OF 29/07/99,
2019-08-07T00:00:00.000,2000,AFR,Mauritania,MR,P035689,MR Health Sect. Invest. Program,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Public Admin,1117107,HEALTH AND DEMOGRAPHIC SURVEY,1999-07-29T00:00:00.000,OFFICE NATIONAL DE LA STATISTIQUE (ONS),Mauritania,MR,853116,CONTRACT OF 29/07/99,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P046563,CN- TARIM BASIN II,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Agriculture,1202290,GAIZIHE CANAL WORKS,1999-08-10T00:00:00.000,XINJIANG HUGANG WATER & SURVEY CONSTRUCTION,China,CN,0,TSZS0001-1,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P046563,CN- TARIM BASIN II,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Public Admin,1202290,GAIZIHE CANAL WORKS,1999-08-10T00:00:00.000,XINJIANG HUGANG WATER & SURVEY CONSTRUCTION,China,CN,538498.72,TSZS0001-1,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003590,CN-QINBA MOUNTAINS REDUCTION,"Raw Materials, Chemicals, Commodities",GOODS,International Competitive Bidding,IBRD/IDA,Agriculture,1115855,DIAMMONIUM PHOSPHATE FERTILISER,1999-07-12T00:00:00.000,SINOCHEM INT'L FERTILIZER TRADING CORP.,China,CN,-22080669,99UMXH/7771055CN,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003590,CN-QINBA MOUNTAINS REDUCTION,"Raw Materials, Chemicals, Commodities",GOODS,International Competitive Bidding,IBRD/IDA,Education,1115855,DIAMMONIUM PHOSPHATE FERTILISER,1999-07-12T00:00:00.000,SINOCHEM INT'L FERTILIZER TRADING CORP.,China,CN,7360223,99UMXH/7771055CN,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003590,CN-QINBA MOUNTAINS REDUCTION,"Raw Materials, Chemicals, Commodities",GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1115855,DIAMMONIUM PHOSPHATE FERTILISER,1999-07-12T00:00:00.000,SINOCHEM INT'L FERTILIZER TRADING CORP.,China,CN,7360223,99UMXH/7771055CN,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003590,CN-QINBA MOUNTAINS REDUCTION,"Raw Materials, Chemicals, Commodities",GOODS,International Competitive Bidding,IBRD/IDA,Social Protection,1115855,DIAMMONIUM PHOSPHATE FERTILISER,1999-07-12T00:00:00.000,SINOCHEM INT'L FERTILIZER TRADING CORP.,China,CN,7360223,99UMXH/7771055CN,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003590,CN-QINBA MOUNTAINS REDUCTION,"Raw Materials, Chemicals, Commodities",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1115855,DIAMMONIUM PHOSPHATE FERTILISER,1999-07-12T00:00:00.000,SINOCHEM INT'L FERTILIZER TRADING CORP.,China,CN,7360223,99UMXH/7771055CN,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Education,1207271,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,XINJIANG BEIXIN BUILDING ENGINEERING COMPANY,China,CN,10617048.05,PEO-98002-16,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Energy & Extractives,1207271,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,XINJIANG BEIXIN BUILDING ENGINEERING COMPANY,China,CN,10617048.05,PEO-98002-16,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Transportation,1207271,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,XINJIANG BEIXIN BUILDING ENGINEERING COMPANY,China,CN,-10617048.05,PEO-98002-16,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Education,1207272,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,JIANGSU BUILDING ENGINEERING COMPANY,China,CN,8421678.74,PEO-98002-17,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Energy & Extractives,1207272,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,JIANGSU BUILDING ENGINEERING COMPANY,China,CN,8421678.74,PEO-98002-17,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Transportation,1207272,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,JIANGSU BUILDING ENGINEERING COMPANY,China,CN,-8421678.74,PEO-98002-17,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Education,1207273,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,XINJIANG DONGFANG CONSTRUCTION & INSTALLATION COMPANY,China,CN,10430659.44,PEO-98002-18,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Energy & Extractives,1207273,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,XINJIANG DONGFANG CONSTRUCTION & INSTALLATION COMPANY,China,CN,10430659.44,PEO-98002-18,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Transportation,1207273,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,XINJIANG DONGFANG CONSTRUCTION & INSTALLATION COMPANY,China,CN,-10430659.44,PEO-98002-18,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Education,1207274,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,NO.2 BUILDING ENGINEERING COMPANY OF XINJIANG UYGUR AUTONOMO,China,CN,9175077.55,PEO-98002-19,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Energy & Extractives,1207274,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,NO.2 BUILDING ENGINEERING COMPANY OF XINJIANG UYGUR AUTONOMO,China,CN,9175077.55,PEO-98002-19,
2019-08-07T00:00:00.000,2000,EAP,China,CN,P003643,CN-Second Xinjiang Highway Project,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Transportation,1207274,HIGHWAY ADMINISTRATION & SERVICE FACILITIES,1999-07-20T00:00:00.000,NO.2 BUILDING ENGINEERING COMPANY OF XINJIANG UYGUR AUTONOMO,China,CN,-9175077.55,PEO-98002-19,
2019-08-07T00:00:00.000,2000,ECA,Croatia,HR,P044457,EMG TRANS/MINE CLR,Miscellaneous,GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1116053,SURVEY & MINE CLEARANCE OF RAILWAY LINE VINKOVCI-TOVARNIK,1999-07-23T00:00:00.000,AKD MUNGOS D.O.O.,Croatia,HR,3089515.2,IFB 5,
2019-08-07T00:00:00.000,2000,ECA,Croatia,HR,P044457,EMG TRANS/MINE CLR,Miscellaneous,GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1116053,SURVEY & MINE CLEARANCE OF RAILWAY LINE VINKOVCI-TOVARNIK,1999-07-23T00:00:00.000,AKD MUNGOS D.O.O.,Croatia,HR,0,IFB 5,
2019-08-07T00:00:00.000,2000,ECA,Russian Federation,RU,P044200,BUREAU OF ECON POL,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Public Admin,1118540,REFORM OF THE GOVERNANCE OF STATE PROPERTY IN INDUSTRY,1999-07-08T00:00:00.000,INTER-AGENCY ANALYTICAL CENTER,Russian Federation,RU,110000,246,
2019-08-07T00:00:00.000,2000,LCR,Argentina,AR,P006057,AR-SECONDARY EDUCATION 2,"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,Education,1208987,"ADQ EQUIPO DE LABORATORIO DE CIENCIAS NATURALES  LOTES 1, 2,",1999-09-17T00:00:00.000,TEMA INTERNACIONAL S.R.L.,Argentina,AR,0,TEMA INTERNACIONAL - LPI 01/99 (,
2019-08-07T00:00:00.000,2000,LCR,Argentina,AR,P006057,AR-SECONDARY EDUCATION 2,"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1208987,"ADQ EQUIPO DE LABORATORIO DE CIENCIAS NATURALES  LOTES 1, 2,",1999-09-17T00:00:00.000,TEMA INTERNACIONAL S.R.L.,Argentina,AR,484262.1,TEMA INTERNACIONAL - LPI 01/99 (,
2019-08-07T00:00:00.000,2000,LCR,Argentina,AR,P006057,AR-SECONDARY EDUCATION 2,"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,Education,1208993,ADQUISICION EQUIPO DE LABORATORIO DE CIENCIAS NATURALES,1999-09-17T00:00:00.000,PASCO SCIENTIFIC,Argentina,AR,0,PASCO SCIENTIFIC - LPI 01/99,
2019-08-07T00:00:00.000,2000,LCR,Argentina,AR,P006057,AR-SECONDARY EDUCATION 2,"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1208993,ADQUISICION EQUIPO DE LABORATORIO DE CIENCIAS NATURALES,1999-09-17T00:00:00.000,PASCO SCIENTIFIC,Argentina,AR,394367.4,PASCO SCIENTIFIC - LPI 01/99,
2019-08-07T00:00:00.000,2000,LCR,Argentina,AR,P006003,RD MAINT & REHAB SCT,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Transportation,1115114,INSTITUTIONAL SPECIALIST,1999-07-23T00:00:00.000,FEDERICO JOSE REIMONDO,Argentina,AR,42485.95,719/99.,
2019-08-07T00:00:00.000,2000,LCR,Colombia,CO,P006894,Santafe I Water Supply and Sewerage Reh.,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1122016,ADVISORY SERVICES FOR SECTORYZATION STUDY,1999-07-19T00:00:00.000,IEH GRUCON-JAIRO RENE ROJAS,Colombia,CO,157887.32,290-99,
2019-08-07T00:00:00.000,2000,LCR,Colombia,CO,P006894,Santafe I Water Supply and Sewerage Reh.,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Water/Sanit/Waste,1122016,ADVISORY SERVICES FOR SECTORYZATION STUDY,1999-07-19T00:00:00.000,IEH GRUCON-JAIRO RENE ROJAS,Colombia,CO,0,290-99,
2019-08-07T00:00:00.000,2000,LCR,Colombia,CO,P006894,Santafe I Water Supply and Sewerage Reh.,Management /Technical Advice,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1215718,ASESORIA A LA INTERVENTORIA DE ESTUDIOS DE SECTORIZACION,,IEH GRUCON-JAIRO RENE ROJAS,Colombia,CO,136109.76,142-96,
2019-08-07T00:00:00.000,2000,LCR,Colombia,CO,P006894,Santafe I Water Supply and Sewerage Reh.,Management /Technical Advice,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Water/Sanit/Waste,1215718,ASESORIA A LA INTERVENTORIA DE ESTUDIOS DE SECTORIZACION,,IEH GRUCON-JAIRO RENE ROJAS,Colombia,CO,0,142-96,
2019-08-07T00:00:00.000,2000,LCR,Honduras,HN,P007398,HN Rural Land Mgmt (+ JSDF Coffee Mkts),"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Agriculture,1120992,WORK OF DREDGING & CHANNELING OF RIVER PELO,1999-07-12T00:00:00.000,SERCOIN,Honduras,HN,0,HOND/96/004/203-99,
2019-08-07T00:00:00.000,2000,LCR,Honduras,HN,P007398,HN Rural Land Mgmt (+ JSDF Coffee Mkts),"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Public Admin,1120992,WORK OF DREDGING & CHANNELING OF RIVER PELO,1999-07-12T00:00:00.000,SERCOIN,Honduras,HN,1388335.19,HOND/96/004/203-99,
2019-08-07T00:00:00.000,2000,LCR,Nicaragua,NI,P041790,GEF NI Atlantic Biological Corridor,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Agriculture,1118619,TECHNICAL LIAISON BETWEEN RAAS & CBA PROJECT,1999-05-31T00:00:00.000,URIEL A. GUTIERREZ,Nicaragua,NI,-239286,CBA-PM05-99,
2019-08-07T00:00:00.000,2000,LCR,Nicaragua,NI,P041790,GEF NI Atlantic Biological Corridor,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Education,1118619,TECHNICAL LIAISON BETWEEN RAAS & CBA PROJECT,1999-05-31T00:00:00.000,URIEL A. GUTIERREZ,Nicaragua,NI,119643,CBA-PM05-99,
2019-08-07T00:00:00.000,2000,LCR,Nicaragua,NI,P041790,GEF NI Atlantic Biological Corridor,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Public Admin,1118619,TECHNICAL LIAISON BETWEEN RAAS & CBA PROJECT,1999-05-31T00:00:00.000,URIEL A. GUTIERREZ,Nicaragua,NI,119643,CBA-PM05-99,
2019-08-07T00:00:00.000,2000,LCR,Nicaragua,NI,P041790,GEF NI Atlantic Biological Corridor,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Social Protection,1118619,TECHNICAL LIAISON BETWEEN RAAS & CBA PROJECT,1999-05-31T00:00:00.000,URIEL A. GUTIERREZ,Nicaragua,NI,119643,CBA-PM05-99,
2019-08-07T00:00:00.000,2000,MNA,Morocco,MA,P005506,MA-PILOT SEBOU PROJECT,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,(H)Multisector,1123531,ETUDE - MINIMISER IMPACT DES ENGRAIS SUR BASSIN DE S�BOU,1999-05-28T00:00:00.000,SCET-MAROC,Morocco,MA,127251.8,4/DOEC/DJ,
2019-08-07T00:00:00.000,2000,MNA,Tunisia,TN,P043700,TN-TRANSPORT SECTOR INVESTMENT PROJECT,"Materials, Construction",GOODS,Limited International Bidding,IBRD/IDA,Public Admin,1204164,"FOURNITURE-560,000 ATTACHES ELASTIQUES A LAME ET BUTEE TYPE",1999-10-21T00:00:00.000,ALLEVARD STEDEF,France,FR,1374782.15,294 1051B,
2019-08-07T00:00:00.000,2000,MNA,Tunisia,TN,P043700,TN-TRANSPORT SECTOR INVESTMENT PROJECT,"Materials, Construction",GOODS,Limited International Bidding,IBRD/IDA,Transportation,1204164,"FOURNITURE-560,000 ATTACHES ELASTIQUES A LAME ET BUTEE TYPE",1999-10-21T00:00:00.000,ALLEVARD STEDEF,France,FR,0,294 1051B,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P010500,Natl Drainage Prog,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Agriculture,1116668,JAMRAO TWIN CANAL COMMISSIONING,1999-07-27T00:00:00.000,M/S.SARDAR M. ASHRAF D. BALUCH,Pakistan,PK,-3383603.67,JAMRAO TWIN CANAL COMMISSIONING,
2019-08-07T00:00:00.000,2000,SAR,Pakistan,PK,P010500,Natl Drainage Prog,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Public Admin,1116668,JAMRAO TWIN CANAL COMMISSIONING,1999-07-27T00:00:00.000,M/S.SARDAR M. ASHRAF D. BALUCH,Pakistan,PK,6767207.34,JAMRAO TWIN CANAL COMMISSIONING,
2019-08-07T00:00:00.000,2000,AFR,Eritrea,ER,P039264,COMMUNITY DEVELOPMENT FUND,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Education,1120426,SUPERVISION WORKS OF TEKELABI-MAIAINI FEEDER ROAD PROJECT,1999-07-26T00:00:00.000,GEDECC,Eritrea,ER,78433.53,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Eritrea,ER,P039264,COMMUNITY DEVELOPMENT FUND,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Health,1120426,SUPERVISION WORKS OF TEKELABI-MAIAINI FEEDER ROAD PROJECT,1999-07-26T00:00:00.000,GEDECC,Eritrea,ER,78433.53,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Eritrea,ER,P039264,COMMUNITY DEVELOPMENT FUND,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Public Admin,1120426,SUPERVISION WORKS OF TEKELABI-MAIAINI FEEDER ROAD PROJECT,1999-07-26T00:00:00.000,GEDECC,Eritrea,ER,-156867.06,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Eritrea,ER,P039264,COMMUNITY DEVELOPMENT FUND,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Water/Sanit/Waste,1120426,SUPERVISION WORKS OF TEKELABI-MAIAINI FEEDER ROAD PROJECT,1999-07-26T00:00:00.000,GEDECC,Eritrea,ER,78433.53,UNKNOWN,
2019-08-07T00:00:00.000,2000,AFR,Mozambique,MZ,P001790,FIRST ROAD & COASTAL SHIPPING,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Public Admin,1123459,TECHNICAL ASSISTANCE TO THE CUSTOMS DEPT. (UTRA),1999-07-09T00:00:00.000,PERROLAS,Mozambique,MZ,-50400,UTRA/PER,
2019-08-07T00:00:00.000,2000,AFR,Mozambique,MZ,P001790,FIRST ROAD & COASTAL SHIPPING,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Transportation,1123459,TECHNICAL ASSISTANCE TO THE CUSTOMS DEPT. (UTRA),1999-07-09T00:00:00.000,PERROLAS,Mozambique,MZ,100800,UTRA/PER,
2019-08-07T00:00:00.000,2000,AFR,Tanzania,TZ,P002817,FIN. & LEGAL MANAGEMENT UPGRADING,Implementation Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Public Admin,1115974,TRAINING COURSE FOR SECRETARIES AND AUDITORS,1999-07-26T00:00:00.000,SOFT-TECH CONSULTANTS LTD,Tanzania,TZ,62746,N/A,
2019-08-07T00:00:00.000,2000,AFR,Uganda,UG,P002976,INST. CAPACITY BLDG,Implementation Activity,CONSULTANT SERVICES,Selection Based On Consultant's Qualific,IBRD/IDA,Education,1119182,SUSAN HILLS - CONSULTANT SERVICES,1999-08-26T00:00:00.000,SUSAN HILLS,United States,US,69800,ED/C/1854/6/9/1/III,
